uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std,,,,,,,,,,,,
none,0.7835,0.7383,0.2433,0.5277,0.8364,0.2519,0.0080,0.0138,0.0214,0.0459,0.1785,0.0146,,,,,,,,,,,,
ensemble,0.7202,0.7167,0.3124,0.7650,1.5752,0.3082,0.0072,0.0117,0.0142,0.0842,0.0411,0.0069,,,,,,,,,,,,
ensemble,0.7373,0.7415,0.2933,0.7778,1.4694,0.2957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
GraphCL-none,0.7746,0.7383,0.2402,0.4750,0.8871,0.2617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
GraphCL-focal,0.7630,0.7305,0.2534,0.9796,0.7151,0.2557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
GraphCL-dkl,0.7583,0.7377,0.1281,0.3440,0.6470,0.2281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000GraphCL-dkl,0.7527,0.7447,0.1446,0.4256,0.6566,0.2319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-dkl-s1,0.7558,0.7433,0.1352,0.3720,0.6553,0.2314,0.0092,0.0176,0.0080,0.0578,0.0053,0.0025,,,,,,,,,,,,
GraphCL-dkl-s2,0.7497,0.7361,0.1369,0.3985,0.6558,0.2317,0.0077,0.0226,0.0159,0.0813,0.0080,0.0038,,,,,,,,,,,,
GraphCL-dkl-s3,0.7527,0.7376,0.1340,0.3270,0.6573,0.2324,0.0128,0.0158,0.0050,0.0534,0.0072,0.0034,,,,,,,,,,,,
GraphCL-dkl-s4,0.7464,0.7316,0.1403,0.3667,0.6605,0.2339,0.0143,0.0242,0.0086,0.0489,0.0082,0.0039,,,,,,,,,,,,
GraphCL-dkl-s1,0.7722,0.7385,0.1302,0.3415,0.6465,0.2276,0.0064,0.0071,0.0104,0.0761,0.0055,0.0026,,,,,,,,,,,,
GraphCL-dkl-s2,0.7684,0.7374,0.1273,0.3198,0.6476,0.2281,0.0109,0.0149,0.0093,0.0525,0.0055,0.0026,,,,,,,,,,,,
GraphCL-dkl-s3,0.7713,0.7406,0.1256,0.3891,0.6441,0.2264,0.0083,0.0102,0.0049,0.0788,0.0060,0.0029,,,,,,,,,,,,
GraphCL-dkl-s4,0.7752,0.7467,0.1261,0.3485,0.6428,0.2258,0.0080,0.0146,0.0075,0.0514,0.0058,0.0027,,,,,,,,,,,,
nopretrain-none,0.7117,0.6776,0.1854,0.3712,0.7481,0.2295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
nopretrain-focal,0.7169,0.7282,0.1529,0.5015,0.6534,0.2335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
nopretrain-dkl,0.7720,0.7396,0.1487,0.3981,0.6517,0.2306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,
nopretrain-none,0.7517,0.7132,0.2468,0.6085,0.8630,0.2619,0.0272,0.0298,0.0351,0.0921,0.0875,0.0187,,,,,,,,,,,,
nopretrain-focal,0.7134,0.6910,0.2370,0.5012,0.7350,0.2673,0.0335,0.0334,0.0306,0.1548,0.0463,0.0183,,,,,,,,,,,,
nopretrain-dkl,0.7488,0.7369,0.1187,0.4141,0.6407,0.2246,0.0339,0.0425,0.0139,0.0405,0.0134,0.0062,,,,,,,,,,,,
GraphCL-fdkl,0.7765,0.7461,0.1461,0.4285,0.6306,0.2202,0.0190,0.0096,0.0297,0.0967,0.0132,0.0062,,,,,,,,,,,,
nopretrain-fdkl,0.7648,0.7344,0.1348,0.4059,0.6354,0.2224,0.0394,0.0375,0.0211,0.0739,0.0162,0.0078,,,,,,,,,,,,
GraphCL-dkl-s2,0.7792,0.7437,0.1382,0.3928,0.6351,0.2222,0.0217,0.0160,0.0130,0.0645,0.0131,0.0062,,,,,,,,,,,,
GraphCL-dkl-s1,0.7772,0.7451,0.1344,0.3894,0.6298,0.2198,0.0162,0.0155,0.0187,0.0514,0.0129,0.0060,,,,,,,,,,,,
GraphCL-svdkl-s2,0.7366,0.7553,0.1368,0.2671,0.6510,0.2293,0.0273,0.0139,0.0219,0.0669,0.0105,0.0051,,,,,,,,,,,,
GraphCL-svdkl-s3,0.7727,0.7489,0.1628,0.3590,0.6189,0.2150,0.0185,0.0170,0.0227,0.1345,0.0397,0.0173,,,,,,,,,,,,
GraphCL-svdkl-s2,0.7693,0.7453,0.1544,0.4088,0.6258,0.2181,0.0128,0.0205,0.0250,0.1218,0.0425,0.0186,,,,,,,,,,,,
nopretrain-svdkl-s2,0.7628,0.7437,0.1598,0.3709,0.6302,0.2200,0.0270,0.0288,0.0320,0.0941,0.0538,0.0242,,,,,,,,,,,,
GraphCL-svdkl-s2,0.6283,0.6284,0.0356,0.0356,0.6935,0.2502,0.2182,0.1326,0.0002,0.0002,0.0001,0.0000,,,,,,,,,,,,
GraphCL-embsvdkl-s2,0.7836,0.7768,0.1656,0.3893,0.6448,0.2264,0.0101,0.0155,0.0122,0.0611,0.0025,0.0012,,,,,,,,,,,,